pipewire-jack 1:0.3.51-1
pipewire-media-session 1:0.4.1-1
pixman 0.40.0-1
pixz 1.0.7-2
pkcs11-helper 1.29.0-1
pkgconf 1.8.0-1
pkgfile 21-2
playerctl 2.4.1-2
polkit 0.120-5
polkit-gnome 0.105-9
polybar 3.6.2-1
popt 1.18-3
portaudio 1:19.7.0-1
ppp 2.4.9-1
pptpclient 1.10.0-2
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 15.0-4
pulseaudio-alsa 1:1.2.6-3
pulsemixer 1.5.1-3
pv 1.6.20-2
python 3.10.4-1
python-attrs 21.4.0-1
python-cairo 1.21.0-1
python-chardet 4.0.0-5
python-configargparse 1.5-3
python-dnspython 1:2.2.1-1
python-docopt 0.6.2-11
python-gobject 3.42.1-1
python-idna 3.3-4
python-importlib-metadata 4.8.1-3
python-markdown 3.3.6-3
python-pexpect 4.8.0-6
python-pillow 9.1.0-1
python-ply 3.11-10
python-psutil 5.9.0-1
python-ptyprocess 0.7.0-4
python-requests 2.27.1-1
python-setproctitle 1.2.3-1
python-six 1.16.0-5
python-urllib3 1.26.9-1
python-xapp 2.2.1-4
python-xlib 0.31-3
python-zipp 3.8.0-1
qogir-gtk-theme-git 2022.04.29.r11.gc717847-1
qrencode 4.1.1-1
qt5-base 5.15.3+kde+r145-1
qt5-declarative 5.15.3+kde+r20-1
qt5-styleplugins 5.0.0.20170311-27
qt5-svg 5.15.3+kde+r12-1
qt5-translations 5.15.3+kde+r2-1
qt5-wayland 5.15.3+kde+r44-1
qt5-x11extras 5.15.3+kde+r0-1
r8168-dkms 8.049.02-2
ranger 1.9.3-4
raptor 2.0.15-19
rate-mirrors-bin 0.9.2-1
rav1e 0.4.1-2
readline 8.1.002-1
refind 0.13.3.1-1
reflector 2021.11-3
reiserfsprogs 3.6.27-3
rest 0.8.1+r4+ge5ee6ef-1
ripgrep 13.0.0-2
rofi 1.7.3-1
rofimoji 5.4.0-1
rp-pppoe 3.15-2
rpcbind 1.2.6-2
rsync 3.2.4-1
rtkit 0.13-1
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 2.0.2-1
run-parts 5.5-1
rustup 1.24.3-2
sbc 1.5-2
screen 4.9.0-1
sdl2 2.0.22-1
sdparm 1.12-1
sed 4.8-1
serd 0.30.10-1
sg3_utils 1.47-1
shaderc 2022.1-3
shadow 4.11.1-1
shared-mime-info 2.0+144+g13695c7-1
shell-color-scripts 1.1.r86.fda8b74-1
slang 2.3.2-2
smartmontools 7.3-1
smbclient 4.16.1-2
sof-firmware 2.1.1-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.3.1-2
spandsp 0.0.6-3
speex 1.2.0-3
speexdsp 1.2.0-2
spicetify-cli 2.9.8-1
spirv-tools 2022.1-1
spotify 1:1.1.84.716-1
sqlite 3.38.3-1
squashfs-tools 4.5.1-1
sratom 0.6.8-3
srt 1.4.4-1
sshfs 3.7.2-2
starship 1.6.3-1
startup-notification 0.12-7
stoken 0.92-4
sudo 1.9.10-1
svt-av1 0.9.0-2
svt-hevc 1.5.1-2
sxhkd 0.6.2-2
sxiv 26-1
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
systemd 250.5-1
systemd-libs 250.5-1
systemd-sysvcompat 250.5-1
taglib 1.12-1
talloc 2.3.3-3
tar 1.34-1
tcl 8.6.12-3
tcpdump 4.99.1-1
tdb 1.4.6-1
tdrop 0.4.0-2
terminus-font 4.49.1-2
termite 16.4-2
testdisk 7.1-4
tevent 1:0.11.0-3
texinfo 6.8-2
the_silver_searcher 2.2.0-2
thin-provisioning-tools 0.9.0-1
thunar 4.16.11-2
tmux 3.2_a-1
tpm2-tss 3.2.0-1
tracker3 3.3.0-2
tree-sitter 0.20.6-1
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-fira-code 6.2-2
ttf-font-awesome-4 4.7.0-5
ttf-iosevka-nerd 2.1.0-2
ttf-ms-fonts 2.0-12
tty-clock 2.3-1
tumbler 4.16.0-3
twolame 0.4.0-2
tzdata 2022a-1
uchardet 0.0.7-1
udftools 2.3-1
udisks2 2.9.4-1
ueberzug 18.1.9-3
unibilium 2.1.1-1
unzip 6.0-18
upd72020x-fw 20200826-3
upower 0.99.17-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-1
usbutils 014-2
util-linux 2.38-1
util-linux-libs 2.38-1
v4l-utils 1.22.1-1
vid.stab 1.1-3
vim 8.2.4827-1
vim-runtime 8.2.4827-1
vmaf 2.3.1-1
volume_key 0.3.12-7
vpnc 1:0.5.3.r501.r196-1
vte-common 0.68.0-2
vulkan-icd-loader 1.3.209-1
wavpack 5.4.0-1
